epoch,accuracy,loss,val_accuracy,val_loss
0,0.777999997138977,0.6160245537757874,0.8687499761581421,0.31325215101242065
1,0.859000027179718,0.3639179468154907,0.9049999713897705,0.24834470450878143
2,0.8899999856948853,0.2856563627719879,0.8662499785423279,0.33170440793037415
3,0.8995000123977661,0.24651555716991425,0.9024999737739563,0.271634042263031
4,0.9100000262260437,0.2339969128370285,0.90625,0.2538076937198639
5,0.9265000224113464,0.19554612040519714,0.9024999737739563,0.3106011748313904
6,0.9279999732971191,0.19227705895900726,0.8949999809265137,0.3531789481639862
7,0.9424999952316284,0.16547316312789917,0.9049999713897705,0.3415206968784332
8,0.9470000267028809,0.1474015861749649,0.8974999785423279,0.35917019844055176
9,0.9509999752044678,0.12810635566711426,0.8774999976158142,0.4657990634441376
